metabolite,log2FC,pval,padj
Lithocholic acid (LCA),0.16889210810898891,0.10453377416768991,0.2649143591920909
Heptadecanoic acid,0.25063869837944175,0.10728078879495645,0.2682019719873911
Suberic acid,0.12897802205804254,0.11435511913047561,0.2820759605218398
Murideoxycholic acid,0.04247569738272716,0.11790510508033751,0.2870058478929268
3-3-Hydroxyphenyl -3-hydroxypropanoic acid,0.35904542621344016,0.12104957415109292,0.29083339244093753
3-(4-Hydroxyphenyl)propionic acid,-0.7442700217391964,0.1249792401584161,0.29267290416844277
5'-Methylthioadenosine,0.03575121945518389,0.1240757648929517,0.29267290416844277
Omega-muricholic acid (Â¦Ã-MCA),0.08701001971088651,0.1312477318700302,0.2997633382216739
p-Cresyl sulfate,0.28984595330796026,0.12964191048783552,0.2997633382216739
N-Acetyltyrosine,-0.13541216244182142,0.13835270827268561,0.3069352573977671
2-Hydroxy-2-methylbutyric acid,0.12443434161690625,0.14102430745302813,0.3069352573977671
Octanoylcarnitine,0.4165188016066548,0.1399440352339984,0.3069352573977671
trans-Ferulic acid,0.1533187713836175,0.13615585969270488,0.3069352573977671
"3,5-Diiodo-tyrosine",-0.04216669368671733,0.1466784638086484,0.31190248051264313
Hydroxyphenyllactic acid,0.10913371772585556,0.14615553839461143,0.31190248051264313
2-Hydroxy-3-methylbutyric acid,0.11841348218671932,0.1498519353284834,0.31502963677010715
10Z-Nonadecaenoic acid,0.259184817952562,0.1566181787977886,0.32555464132124595
"5Z,8Z,11Z,14Z,17Z-Eicosapentaenoic acid",0.3147740009486917,0.16277698854369316,0.3321337774831098
7-Dehydrocholic acid (7-DHCA),0.13461522399383608,0.1645012436528826,0.3321337774831098
Azelaic acid,0.18020742145888136,0.16516922988349245,0.3321337774831098
Spermidine,0.2891734146966516,0.180940376913473,0.34868718467700527
Caffeine,0.6740455103764562,0.18022224009151286,0.34868718467700527
Palmitoylcarnitine,0.45236894358130186,0.17536166969569125,0.34868718467700527
Didecanoylphosphatidylcholine,0.0046124912913989985,0.18078777702668233,0.34868718467700527
Citraconic acid,0.1142565733512555,0.1868897467151739,0.3528020728806854
Indoxyl sulfate,0.23627398498055818,0.1858830408577466,0.3528020728806854
Erucic acid,0.4162469794590695,0.1908197589831979,0.35658237789789504
2-Pyrocatechuic acid,0.04000913469948486,0.19882403040169833,0.36782445624314186
Indole-3-methyl acetate,0.2840037804939213,0.23361700102479244,0.4237171097018294
Ketoleucine,0.22657505009902756,0.23282840875165675,0.4237171097018294
Benzoic acid,-0.03367290386522015,0.24303271229046988,0.42820049308320884
Cortisol,0.36974583052613497,0.24183306753096642,0.42820049308320884
Palmitoylethanolamide,0.29561472660299604,0.2412689592201067,0.42820049308320884
